コモンパーツ	消費作成点	使用能力値	何ができるのか
剣	5	体力	戦闘で判定＋１d。鋭い刃のついた刀剣類
斧	5	体力	戦闘判定で６が出るとダメージ＋１。大ぶりな斧類
ハンマー	5	体力	戦闘判定で必要成功数が１下がる。大きなハンマー。
弓	5	敏捷力	戦闘イベント時に限界ラウンドを超えるまでダメージを受けない。遠距離攻撃ができる弓。
盾	5	体力	戦闘で防御判定時に＋１d。敵からの攻撃を受け止めることができる盾
鎧	5	ー	HP＋５。攻撃を受ける時にダメージを防ぐ鎧。
ハンドガン	10	敏捷力	戦闘で判定成功数＋１。戦闘イベント時に限界ラウンドを超えるまでダメージを受けない。銃弾を放つ武器。使用するたびにSPを１点使用する。
サブマシンガン	15	敏捷力	戦闘で１エリア全体を攻撃できる。戦闘イベント時に限界ラウンドを超えるまでダメージを受けない。大量の銃弾を放つ武器。使用するたびにSPを１点使用する。
スマートフォン	5	知力	戦闘以外のイベント判定＋２d。回線が繋がらないスマートフォン。充電は常に満タン。チートスキルが次元を超えるものなら回線が繋がるかもしれない。
攻撃魔法	10	知力	戦闘で判定＋２d。戦闘イベント時に限界ラウンドを超えるまでダメージを受けない。魔力を攻撃に変える。SPを1点使用する。
防御魔法	10	知力	ダメージを受けた時に2点減少する。仲間に対する攻撃を防ぐことができる。魔力を防御に変える。SPを1点使用する。
回復魔法	10	知力	ダメージを（消費したSP＋成功数）点回復することができる。戦闘イベント時に限界ラウンドを超えるまでダメージを受けない。魔力を回復に変える。SPを1点使用する。
支援魔法	10	知力	戦闘で他者の判定＋２d。戦闘イベント時に限界ラウンドを超えるまでダメージを受けない。魔力を加護に変える。SPを1点使用する。
仲間	10	魅力	あらゆる判定に＋２d。HP５点。いろんな場面で頼れる仲間を連れている。
従者	10	魅力	戦闘で判定＋１d。HP８点。戦いの場を代わりに引き受ける従者を連れている。
配下	5	魅力	あらゆる判定に成功数＋１。HP３点。SP1点を消費する。金次第で活躍する配下を連れている。
財貨	５〜	魅力	5点ごとに、あらゆる判定に＋１dする。使い捨て。いつでも役に立つ現金を持っている。
肉体鍛錬	5	ー	体力、敏捷力の判定成功数＋１。肉体の鍛錬を行い、一般人を逸脱した肉体を持つ。
精神鍛錬	5	ー	SP＋2点。あなたの精神は通常の人間よりも強い心を持つ。
義肢改造	5	ー	HP＋４。戦闘判定＋１d。魅力判定−１d。ぱっと見でわかる義肢を持つ。改造されたそれは、一般人から見たら忌避の対象かもしれない。
サイバーウェア	10	ー	HP＋６、体力、敏捷力判定＋１d。高性能な義肢を持っている。見た目も変化動作をさせなければ、普通の体と変わらない見た目を持つ。
TS	5	ー	魅力判定＋１d。あなたは精神と性別が入れ替わっている。怪しい魅力が漂っている。
ピックアップトラック	10	敏捷力	５人乗りの荷台のある
